iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
AFG,Asia,Afghanistan,7/26/2020,36157,121,1259,13,928.809,3.108,32.341,0.334,,,,,,,,,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
ALB,Europe,Albania,7/26/2020,4637,67,134,6,1611.3,23.282,46.563,2.085,,,,,,,,,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57
DZA,Africa,Algeria,7/26/2020,26764,605,1146,10,610.339,13.797,26.134,0.228,,,,,,,,74.07,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
AND,Europe,Andorra,7/26/2020,897,8,52,0,11609.396,103.54,673.008,0,,,,,,,,,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73
AGO,Africa,Angola,7/26/2020,880,29,35,2,26.775,0.882,1.065,0.061,,,,,,,,,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15
AIA,North America,Anguilla,7/26/2020,3,0,0,0,199.973,0,0,0,,,,,,,,,15002,,,,,,,,,,,,,81.88
ATG,North America,Antigua and Barbuda,7/26/2020,82,0,3,0,837.35,0,30.635,0,,,,,,,,,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02
ARG,South America,Argentina,7/26/2020,153507,5493,2847,125,3396.49,121.538,62.993,2.766,,,,,,,,,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARM,Asia,Armenia,7/26/2020,37317,321,705,5,12593.336,108.328,237.916,1.687,,,,,,,,,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09
ABW,North America,Aruba,7/26/2020,119,1,3,0,1114.587,9.366,28.099,0,,,,,,,,,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29
AUS,Oceania,Australia,7/26/2020,13950,355,145,6,547.061,13.922,5.686,0.235,,,,,,,,,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44
AUT,Europe,Austria,7/26/2020,20349,120,712,1,2259.393,13.324,79.055,0.111,7008,847898,94.144,0.778,14176,1.574,tests performed,,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54
AZE,Asia,Azerbaijan,7/26/2020,29633,321,408,8,2922.624,31.659,40.24,0.789,,,,,,,,,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73
BHS,North America,Bahamas,7/26/2020,326,10,11,0,828.993,25.429,27.972,0,,,,,,,,,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92
BHR,Asia,Bahrain,7/26/2020,38747,289,137,1,22771.149,169.842,80.513,0.588,,,,,,,,,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29
BGD,Asia,Bangladesh,7/26/2020,221178,2520,2874,38,1343.001,15.302,17.451,0.231,,,,,,,,,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59
BRB,North America,Barbados,7/26/2020,108,0,7,0,375.821,0,24.359,0,,,,,,,,,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BLR,Europe,Belarus,7/26/2020,67002,156,530,11,7090.668,16.509,56.089,1.164,,,,,,,,,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79
BEL,Europe,Belgium,7/26/2020,65634,0,9821,1,5663.173,0,847.396,0.086,,,,,,,,,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63
BLZ,North America,Belize,7/26/2020,48,0,2,0,120.718,0,5.03,0,,,,,,,,,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62
BEN,Africa,Benin,7/26/2020,1694,0,34,0,139.732,0,2.805,0,,,,,,,,,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77
BMU,North America,Bermuda,7/26/2020,153,0,9,0,2456.924,0,144.525,0,,,,,,,,,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BTN,Asia,Bhutan,7/26/2020,93,1,0,0,120.527,1.296,0,0,,,,,,,,,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78
BOL,South America,Bolivia,7/26/2020,68281,1825,2535,62,5849.467,156.343,217.167,5.311,,,,,,,,,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51
BES,North America,Bonaire Sint Eustatius and Saba,7/26/2020,11,0,0,0,419.511,0,0,0,,,,,,,,,26221,,,,,,,,,,,,,77.79
BIH,Europe,Bosnia and Herzegovina,7/26/2020,9764,302,278,4,2976.09,92.05,84.735,1.219,,,,,,,,,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4
BWA,Africa,Botswana,7/26/2020,686,0,1,0,291.713,0,0.425,0,,,,,,,,,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59
BRA,South America,Brazil,7/26/2020,2394513,51147,86449,1211,11265.147,240.624,406.705,5.697,,,,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88
VGB,North America,British Virgin Islands,7/26/2020,8,0,1,0,264.577,0,33.072,0,,,,,,,,,30237,207.973,,,,,,,13.67,,,,,79.07
BRN,Asia,Brunei,7/26/2020,141,0,3,0,322.298,0,6.857,0,,,,,,,,,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86
BGR,Europe,Bulgaria,7/26/2020,10312,189,338,1,1484.073,27.2,48.644,0.144,,,,,,,,,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05
BFA,Africa,Burkina Faso,7/26/2020,1086,5,53,0,51.954,0.239,2.535,0,,,,,,,,,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58
BDI,Africa,Burundi,7/26/2020,361,16,1,0,30.36,1.346,0.084,0,,,,,,,,25,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58
KHM,Asia,Cambodia,7/26/2020,225,23,0,0,13.458,1.376,0,0,,,,,,,,,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82
CMR,Africa,Cameroon,7/26/2020,16708,0,385,0,629.401,0,14.503,0,,,,,,,,60.19,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29
CAN,North America,Canada,7/26/2020,113543,350,8885,4,3008.387,9.273,235.413,0.106,44444,3761927,99.674,1.178,40028,1.061,people tested,,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43
CPV,Africa,Cape Verde,7/26/2020,2258,38,22,0,4061.239,68.347,39.569,0,,,,,,,,68.06,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98
CYM,North America,Cayman Islands,7/26/2020,203,0,1,0,3088.862,0,15.216,0,,,,,,,,,65720,256.496,,,,49903.029,,,13.22,,,,,83.92
CAF,Africa,Central African Republic,7/26/2020,4598,5,59,0,952.013,1.035,12.216,0,,,,,,,,,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28
TCD,Africa,Chad,7/26/2020,915,0,75,0,55.705,0,4.566,0,,,,,,,,,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24
CHL,South America,Chile,7/26/2020,343592,2288,9020,106,17973.857,119.689,471.851,5.545,,,,,,,,,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18
CHN,Asia,China,7/26/2020,86381,179,4652,2,60.015,0.124,3.232,0.001,,,,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91
COL,South America,Colombia,7/26/2020,240795,7254,8269,294,4732.338,142.563,162.51,5.778,,,,,,,,,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29
COM,Africa,Comoros,7/26/2020,340,0,7,0,390.987,0,8.05,0,,,,,,,,,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32
COG,Africa,Congo,7/26/2020,3038,0,51,0,550.553,0,9.242,0,,,,,,,,,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57
CRI,North America,Costa Rica,7/26/2020,14600,931,98,11,2866.053,182.76,19.238,2.159,,,,,,,,,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CIV,Africa,Cote d'Ivoire,7/26/2020,15494,241,94,0,587.377,9.136,3.564,0,,,,,,,,,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78
HRV,Europe,Croatia,7/26/2020,4792,77,133,5,1167.281,18.756,32.397,1.218,1489,112003,27.283,0.363,1271,0.31,people tested,,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49
CUB,North America,Cuba,7/26/2020,2478,9,87,0,218.777,0.795,7.681,0,,,,,,,,,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8
CUW,North America,Curacao,7/26/2020,29,0,1,0,176.722,0,6.094,0,,,,,,,,,164100,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88
CYP,Europe,Cyprus,7/26/2020,1053,6,19,0,1202.193,6.85,21.692,0,,,,,,,,,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98
CZE,Europe,Czech Republic,7/26/2020,15212,131,368,0,1420.49,12.233,34.364,0,,,,,,,,,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38
COD,Africa,Democratic Republic of Congo,7/26/2020,8800,34,203,3,98.257,0.38,2.267,0.033,,,,,,,,,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68
DNK,Europe,Denmark,7/26/2020,13438,0,613,0,2320.015,0,105.832,0,,,,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9
DJI,Africa,Djibouti,7/26/2020,5039,0,58,0,5100.192,0,58.704,0,,,,,,,,,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11
DMA,North America,Dominica,7/26/2020,18,0,0,0,250.031,0,0,0,,,,,,,,,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75
DOM,North America,Dominican Republic,7/26/2020,60896,1819,1055,19,5613.619,167.682,97.254,1.751,,,,,,,,,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08
ECU,South America,Ecuador,7/26/2020,80036,987,5507,39,4536.401,55.943,312.134,2.211,,,,,,,,,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01
EGY,Africa,Egypt,7/26/2020,91583,511,4558,40,894.939,4.993,44.54,0.391,,,,,,,,,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99
SLV,North America,El Salvador,7/26/2020,14221,429,390,0,2192.501,66.14,60.128,0,,,,,,,,,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32
GNQ,Africa,Equatorial Guinea,7/26/2020,3071,0,51,0,2188.904,0,36.351,0,,,,,,,,,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74
ERI,Africa,Eritrea,7/26/2020,263,2,0,0,74.159,0.564,0,0,,,,,,,,,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32
EST,Europe,Estonia,7/26/2020,2033,5,69,0,1532.56,3.769,52.015,0,,,,,,,,,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74
ETH,Africa,Ethiopia,7/26/2020,12693,760,200,3,110.409,6.611,1.74,0.026,,,,,,,,,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6
FRO,Europe,Faeroe Islands,7/26/2020,191,0,0,0,3908.728,0,0,0,,,,,,,,,48865,35.308,,,,,,,,,,,,80.67
FLK,South America,Falkland Islands,7/26/2020,13,0,0,0,3732.415,0,0,0,,,,,,,,,3483,,,,,,,,,,,,,81.44
FJI,Oceania,Fiji,7/26/2020,27,0,0,0,30.119,0,0,0,,,,,,,,,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44
FIN,Europe,Finland,7/26/2020,7388,8,329,0,1333.401,1.444,59.379,0,,,,,,,,,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91
FRA,Europe,France,7/26/2020,180528,0,30192,0,2765.716,0,462.546,0,,,,,,,,,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66
PYF,Oceania,French Polynesia,7/26/2020,62,0,0,0,220.716,0,0,0,,,,,,,,,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
GAB,Africa,Gabon,7/26/2020,6984,0,49,0,3137.85,0,22.015,0,,,,,,,,,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47
GMB,Africa,Gambia,7/26/2020,277,61,6,0,114.621,25.241,2.483,0,,,,,,,,,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05
GEO,Asia,Georgia,7/26/2020,1131,14,16,0,283.517,3.509,4.011,0,,,,,,,,,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77
DEU,Europe,Germany,7/26/2020,205269,305,9118,0,2449.98,3.64,108.828,0,,,,,,,,,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
GHA,Africa,Ghana,7/26/2020,31851,794,161,0,1025.04,25.553,5.181,0,,,,,,,,,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07
GIB,Europe,Gibraltar,7/26/2020,185,1,0,0,5491.081,29.682,0,0,,,,,,,,,33691,3457.1,,,,,,,,,,,,79.93
GRC,Europe,Greece,7/26/2020,4166,31,201,0,399.691,2.974,19.284,0,,447685,42.951,,5274,0.506,samples tested,,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24
GRL,North America,Greenland,7/26/2020,13,0,0,0,228.986,0,0,0,,,,,,,,,56772,0.137,,,,,,199.941,2.16,,,,,71.7
GRD,North America,Grenada,7/26/2020,23,0,0,0,204.41,0,0,0,,,,,,,,,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4
GUM,Oceania,Guam,7/26/2020,337,0,5,0,1996.647,0,29.624,0,,,,,,,,49.07,168783,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07
GTM,North America,Guatemala,7/26/2020,44492,1209,1669,0,2483.427,67.483,93.159,0,,,,,,,,,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3
GGY,Europe,Guernsey,7/26/2020,252,0,13,0,3758.277,0,193.879,0,,,,,,,,,67052,,,,,,,,,,,,,
GIN,Africa,Guinea,7/26/2020,6927,60,42,0,527.458,4.569,3.198,0,,,,,,,,,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6
GNB,Africa,Guinea-Bissau,7/26/2020,1954,0,26,0,992.887,0,13.211,0,,,,,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32
GUY,South America,Guyana,7/26/2020,360,8,20,0,457.69,10.171,25.427,0,,,,,,,,,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91
HTI,North America,Haiti,7/26/2020,7297,37,156,0,639.946,3.245,13.681,0,,,,,,,,,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64
HND,North America,Honduras,7/26/2020,38438,879,1098,37,3880.82,88.747,110.857,3.736,,,,,,,,,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27
HUN,Europe,Hungary,7/26/2020,4435,11,596,0,459.093,1.139,61.695,0,,,,,,,,,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88
ISL,Europe,Iceland,7/26/2020,1843,0,10,0,5400.733,0,29.304,0,,,,,,,,,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99
IND,Asia,India,7/26/2020,1385522,48661,32063,705,1003.998,35.261,23.234,0.511,442263,16291331,11.805,0.32,357066,0.259,samples tested,,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
IDN,Asia,Indonesia,7/26/2020,97286,1868,4714,49,355.677,6.829,17.234,0.179,7692,796950,2.914,0.028,12816,0.047,people tested,,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72
IRN,Asia,Iran,7/26/2020,284034,0,15074,0,3381.641,0,179.467,0,,,,,,,,,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68
IRQ,Asia,Iraq,7/26/2020,107573,2862,4284,72,2674.448,71.154,106.508,1.79,,,,,,,,,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6
IRL,Europe,Ireland,7/26/2020,25869,24,1764,1,5238.977,4.86,357.244,0.203,,,,,,,,,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3
IMN,Europe,Isle of Man,7/26/2020,336,0,24,0,3951.454,0,282.247,0,,,,,,,,,85032,147.872,,,,,,,,,,,,81.4
ISR,Asia,Israel,7/26/2020,60678,1203,457,9,7010.307,138.986,52.799,1.04,,,,,,,,,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97
ITA,Europe,Italy,7/26/2020,245864,274,35102,5,4066.433,4.532,580.565,0.083,40526,6560572,108.508,0.67,46075,0.762,tests performed,,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51
JAM,North America,Jamaica,7/26/2020,837,16,10,0,282.659,5.403,3.377,0,,,,,,,,,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47
JPN,Asia,Japan,7/26/2020,29382,596,996,3,232.312,4.712,7.875,0.024,,,,,,,,,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63
JEY,Europe,Jersey,7/26/2020,332,0,31,0,3284.755,0,306.709,0,,,,,,,,,101073,,,,,,,,,,,,,
JOR,Asia,Jordan,7/26/2020,1154,8,11,0,113.102,0.784,1.078,0,,,,,,,,,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53
KAZ,Asia,Kazakhstan,7/26/2020,81720,1494,585,0,4352.201,79.567,31.156,0,,,,,,,,,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6
KEN,Africa,Kenya,7/26/2020,16643,375,278,4,309.515,6.974,5.17,0.074,,,,,,,,,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
